Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Stint,FreshTyre,Position,IsAccurate,TrackStatus,IsPersonalBest
PER,11,18.0,0 days 00:01:19.122000,0 days 00:00:22.650000,0 days 00:00:25.314000,0 days 00:00:31.158000,229.0,267.0,275.0,295.0,MEDIUM,3.0,3.0,True,18.0,True,12,False
PER,11,19.0,0 days 00:01:18.590000,0 days 00:00:22.467000,0 days 00:00:25.118000,0 days 00:00:31.005000,228.0,268.0,272.0,293.0,MEDIUM,4.0,3.0,True,18.0,True,1,False
PER,11,20.0,0 days 00:01:18.568000,0 days 00:00:22.254000,0 days 00:00:25.017000,0 days 00:00:31.297000,229.0,269.0,235.0,293.0,MEDIUM,5.0,3.0,True,18.0,True,1,False
PER,11,21.0,0 days 00:01:19.388000,0 days 00:00:23.612000,0 days 00:00:25.049000,0 days 00:00:30.727000,228.0,271.0,277.0,299.0,MEDIUM,6.0,3.0,True,18.0,True,1,False
PER,11,22.0,0 days 00:01:17.960000,0 days 00:00:22.342000,0 days 00:00:24.847000,0 days 00:00:30.771000,230.0,271.0,276.0,300.0,MEDIUM,7.0,3.0,True,18.0,True,1,True
PER,11,23.0,0 days 00:01:17.936000,0 days 00:00:22.170000,0 days 00:00:24.996000,0 days 00:00:30.770000,230.0,272.0,272.0,301.0,MEDIUM,8.0,3.0,True,18.0,True,1,True
PER,11,24.0,0 days 00:01:18.212000,0 days 00:00:22.293000,0 days 00:00:24.943000,0 days 00:00:30.976000,230.0,275.0,262.0,332.0,MEDIUM,9.0,3.0,True,18.0,True,1,False
PER,11,25.0,0 days 00:01:18.463000,0 days 00:00:22.633000,0 days 00:00:24.865000,0 days 00:00:30.965000,230.0,270.0,272.0,297.0,MEDIUM,10.0,3.0,True,17.0,True,1,False
PER,11,26.0,0 days 00:01:18.104000,0 days 00:00:22.332000,0 days 00:00:24.875000,0 days 00:00:30.897000,230.0,270.0,271.0,294.0,MEDIUM,11.0,3.0,True,17.0,True,1,False
PER,11,27.0,0 days 00:01:18.478000,0 days 00:00:22.352000,0 days 00:00:25.051000,0 days 00:00:31.075000,230.0,270.0,272.0,293.0,MEDIUM,12.0,3.0,True,17.0,True,1,False
